NFR19,Source,Activity,Profile_ID,SNAP,GNFR
1A2gviii,Autogeneration - exported to grid,Natural gas,MISC_ANY,3,B_Industry
1A2gviii,Other industrial combustion,Wood,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Town gas,INDU_MAN_GEN,3,B_Industry
1A2gviii,Other industrial combustion,Waste solvent,INDU_MAN_GEN,3,B_Industry
1A2gviii,Industrial engines,Lubricants,INDU_PRO_GEN,3,B_Industry
1A3a,Aircraft between UK and CDs - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and CDs - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Gibraltar - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Bermuda - TOL,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft - domestic take off and landing,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft - domestic take off and landing,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and CDs - Cruise,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and CDs - Cruise,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Gibraltar - Cruise,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Bermuda - Cruise,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft - domestic cruise,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft - domestic cruise,Aviation turbine fuel,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and other OTs (excl Gib. and Bermuda) - Cruise,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Gibraltar - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Gibraltar - Cruise,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Bermuda - TOL,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3a,Aircraft between UK and Bermuda - Cruise,Aviation spirit,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft - international take off and landing,Brake wear,AVIA_INT_ALL,8,H_Aviation
1A3ai(i),Aircraft - international take off and landing,Tyre wear,AVIA_INT_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and CDs - TOL,Brake wear,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and CDs - TOL,Tyre wear,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and Gibraltar - TOL,Brake wear,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and Gibraltar - TOL,Tyre wear,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Brake wear,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and other OTs (excl Gib. and Bermuda) - TOL,Tyre wear,AVIA_DOM_ALL,8,H_Aviation
1A3ai(i),Aircraft between UK and Bermuda - TOL,Brake wear,AVIA_DOM_ALL,8,H_Aviation
