NFR19,GNFR19,Source,Activity
1A4ai,C_OtherStationaryComb,Railways - stationary combustion,Burning oil
1A4ai,C_OtherStationaryComb,Railways - stationary combustion,Coal
1A4ai,C_OtherStationaryComb,Railways - stationary combustion,Coke
1A4ai,C_OtherStationaryComb,Railways - stationary combustion,Fuel oil
1A4ai,C_OtherStationaryComb,Railways - stationary combustion,Natural gas
1A4bi,C_OtherStationaryComb,Domestic combustion,Anthracite
1A4bi,C_OtherStationaryComb,Domestic combustion,Burning oil
1A4bi,C_OtherStationaryComb,Domestic combustion,Charcoal
1A4bi,C_OtherStationaryComb,Domestic combustion,Coal
1A4bi,C_OtherStationaryComb,Domestic combustion,Coke
1A4bi,C_OtherStationaryComb,Domestic combustion,Fuel oil
1A4bi,C_OtherStationaryComb,Domestic combustion,Gas oil
1A4bi,C_OtherStationaryComb,Domestic combustion,LPG
1A4bi,C_OtherStationaryComb,Domestic combustion,Natural gas
1A4bi,C_OtherStationaryComb,Domestic combustion,Peat
1A4bi,C_OtherStationaryComb,Domestic combustion,Petroleum coke
1A4bi,C_OtherStationaryComb,Domestic combustion,SSF
1A4bi,C_OtherStationaryComb,Domestic combustion,Town gas
1A4bi,C_OtherStationaryComb,Domestic combustion,Wood
1A4bi,C_OtherStationaryComb,Solid smokeless fuel production,Petroleum coke
1A4bii,I_Offroad,House and garden machinery,DERV
1A4bii,I_Offroad,House and garden machinery,Petrol
1A4ci,C_OtherStationaryComb,Agriculture - stationary combustion,Burning oil
1A4ci,C_OtherStationaryComb,Agriculture - stationary combustion,Coal
1A4ci,C_OtherStationaryComb,Agriculture - stationary combustion,Coke
1A4ci,C_OtherStationaryComb,Agriculture - stationary combustion,Fuel oil
1A4ci,C_OtherStationaryComb,Agriculture - stationary combustion,Natural gas
1A4ci,C_OtherStationaryComb,Agriculture - stationary combustion,Straw
1A4ci,C_OtherStationaryComb,Agriculture - stationary combustion,Vaporising oil
1A4cii,I_Offroad,Agricultural engines,Lubricants
1A4cii,I_Offroad,Agriculture - mobile machinery,Gas oil
1A4cii,I_Offroad,Agriculture - mobile machinery,Petrol
1A4ciii,I_Offroad,Fishing vessels,Fuel oil
1A4ciii,I_Offroad,Fishing vessels,Gas oil
1A5b,I_Offroad,Aircraft -  military,Aviation spirit
1A5b,I_Offroad,Aircraft -  military,Aviation turbine fuel
1A5b,I_Offroad,Shipping - naval,Gas oil
1B1a,D_Fugitive,Deep-mined coal,Coal produced
