Gas,NFR/CRF Group,Source,Activity,Units,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PMco (Particulate Matter coarse fraction),1A1c,Collieries - combustion,Colliery methane,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Collieries - combustion,Natural gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.75782E-19,0,0,0,0,0,0,-9.75782E-19,0,0,-9.99499E-20,0,0,0,0,0,0,0,0,0,0,0,-1.00289E-18,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Gas production,Colliery methane,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Gas production,LPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,-1.0842E-18,0,0,0,-9.75782E-19,0,0,0,0,0,0,-9.97466E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Gas production,Natural gas,kilotonne,0,0,0,0,0,9.54098E-18,0,9.54098E-18,1.04083E-17,0,0,0,0,0,0,0,0,0,1.04083E-17,1.04083E-17,1.04083E-17,0,1.04083E-17,9.54098E-18,9.54098E-18,0,0,9.88792E-17,0,0,0,0,1.00614E-16,0,0,0,0,0,0,1.00614E-16,0,-2.01228E-16,0,0,-1.00614E-16,1.00614E-16,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Gas production,OPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Gas production,Town gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Nuclear fuel production,Natural gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Upstream Oil Production - fuel combustion,Gas oil,kilotonne,1.80579E-05,2.45402E-05,3.85466E-05,4.30611E-05,4.74598E-05,0.000181042,0.001408629,0.004429386,0.006251494,0.008999762,0.009314501,0.010354796,0.011947245,0.013307257,0.014592722,0.01477168,0.014708825,0.014278561,0.013249263,0.01061594,0.010613344,0.010563966,0.010910075,0.011597432,0.014647937,0.01503595,0.015018355,0.014843796,0.015386821,0.01385207,0.014206807,0.015048556,0.01433474,0.013521838,0.012569429,0.013967705,0.012521111,0.011610146,0.013432116,0.01335169,0.014061419,0.014980511,0.017137412,0.016210822,0.017300905,0.016027973,0.016144176,0.01493358,0.014407581,0.01476763
PMco (Particulate Matter coarse fraction),1A1c,Upstream Oil Production - fuel combustion,Natural gas,kilotonne,0,0,0,9.75782E-19,9.75782E-19,0,0,9.97466E-18,0,1.04083E-17,2.08167E-17,0,0,0,0,0,9.71445E-17,0,0,0,0,0,0,0,0,0,1.04083E-16,0,1.04083E-16,0,9.71445E-17,0,9.71445E-17,0,1.04083E-16,0,9.71445E-17,0,0,0,-1.00614E-16,0,0,0,0,-1.00614E-16,0,0,0,-9.71445E-17
PMco (Particulate Matter coarse fraction),1A1c,Town gas manufacture,Burning oil,kilotonne,0.0987525,0.052119375,0.04389,0.046633125,0.02743125,0.013715625,0.00548625,0.002743125,0.002743125,0.002743125,0.002743125,0.002743125,0.002743125,0.001728169,0.001618444,0.001810463,0.001234406,0.0008778,0.000301744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Town gas manufacture,Coal,kilotonne,1.120392,0.480168,0.160056,0.13338,0.026676,0.00240084,0.00213408,0.00186732,0.00160056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Town gas manufacture,Coke,kilotonne,0.0399618,0.0109962,0.005364,0.001341,0.0002682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Town gas manufacture,Coke oven gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Town gas manufacture,LPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Town gas manufacture,Natural gas,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Upstream oil and gas production - combustion at gas separation plant,LPG,kilotonne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842E-18,0,0,-9.75782E-19,0,0,0,0,0,0,0
PMco (Particulate Matter coarse fraction),1A1c,Upstream oil and gas production - combustion at gas separation plant,OPG,kilotonne,0,0,0,0,0,0,0,-9.97466E-18,-9.97466E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
