
"Gas","NFR/CRF Group","Source","Activity","Units","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Nitrous Oxide","1A1ai","Power stations","Poultry litter","kilotonne","0","0","0.0022344","0.006103552","0.014277312","0.014277312","0.014277312","0.014277312","0.015781666195704","0.0208411873753425","0.0224325283728","0.0280476204613799","0.0274237329733799","0.0254669499493799","0.0230690117766081","0.0222123014339558","0.0207390260343354","0.0213395326215932","0.0251592308137894","0.0247740035875032","0.0255091499193174","0.0296096483098426","0.0273824805050198","0.0289668074090268","0.0291836600223576","0.0311059804591419","0.0304150898787385","0.0288298780566866","0.0286816387735132","0.02968728202864","0.029870495829632"
"Nitrous Oxide","1A1ai","Power stations","Liquid bio-fuels","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00170486112","0.0277893249408","0.03244045476432","0.009730648032","0.004579190544","0.0022000293667872","0.0025268648188128","0.00250883496","0.00788849423352","0.0088613425104","0.00047511935232","0.00060530662992","0.0001406098992","0.000223432128","3.1108128e-05","4.8482016e-05","0"
"Nitrous Oxide","1A1aiii","Heat supply","Landfill gas","kilotonne","0.0001303015896","0.0001383025644","0.000120014622","5.714982e-05","7.20087732e-05","5.75308188e-05","6.32458008e-05","5.9054814e-05","5.18158368e-05","5.18158368e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05","5.173963704e-05"
"Nitrous Oxide","1A1aiii","Heat supply","Sewage gas","kilotonne","0.0001318255848","0.000165734478","0.000165734478","0.000129539592","0.0001985003748","0.000222884298","0.000222884298","0.0002217413016","0.0002061203508","0.0002065013496","0.00018394622064","0.00018806100768","0.00020356765884","0.00020013866964","0.00020013866964","0.00020158646508","0.00016817287032","0.00018851820624","0.00018947070324","0.0001941188886","0.000220026807","0.00024505842816","0.00024281053524","0.00026026028028","0.000258126687","0.00027668132856","0.00028605389904","0.00030609443592","0.00031177131804","0.0003423274218","0.0003427084206"
"Nitrous Oxide","1A1b","Refineries - combustion","Burning oil","kilotonne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1b","Refineries - combustion","Fuel oil","kilotonne","0.0511904448","0.0561364992","0.057622752","0.0595232064","0.0615698496","0.057988224","0.0572207328","0.05744843088","0.054577152","0.0426140352","0.02983734558","0.04130470638","0.050047880064","0.049730149536","0.0412298751945798","0.0385918815858216","0.0243696737042825","0.0250790859408482","0.0175849491450817","0.0146410514396279","0.012719549088","0.0116188234003679","0.00844701030525984","0.00839826225046872","0.00342345692253816","0.00674172024595608","0.00567272796005052","0.00507211199747616","0.00491471311584396","0.00300527988219054","0.0021508197876882"
"Nitrous Oxide","1A1b","Refineries - combustion","Gas oil","kilotonne","0.001742769296184","0.0016899696","0.0016899696","0.0018179976","0.002176476","0.0025861656","0.0029702496","0.00392533848","0.004157244","0.002957616","0.004359011616","0.001244256192","0.001267402752","0.005130049248","0.00494461935495936","0.00525806991300672","0.001111874719878","0","0","0","0","1.251522872586e-05","1.02165132456e-06","0","0","0","2.5541283114e-07","2.5541283114e-07","2.5541283114e-07","2.5541283114e-07","2.5541283114e-07"
"Nitrous Oxide","1A1b","Refineries - combustion","LPG","kilotonne","7.99830820027539e-05","7.89793404404252e-05","7.49463528434673e-05","6.01587316546217e-05","2.78948308789587e-05","4.13381228688183e-05","4.62694629044197e-05","5.08906806356629e-05","0.00017476732","0.00017476732","0.0001751352512","0.000195410741682","4.481897745e-05","8.7845195802e-05","8.94692941796274e-05","0.000195205497449398","0.00019307509933896","0.000193754675690623","2.185157413936e-05","2.16029890268e-05","2.522703073185e-05","5.836978635672e-05","4.601164058491e-05","3.065233488819e-05","4.927349778e-05","4.06724515386e-05","3.78806095305e-05","4.251230338814e-05","5.02562061875e-05","4.314114917376e-05","4.31411028435e-05"
"Nitrous Oxide","1A1b","Refineries - combustion","Refinery miscellaneous","kilotonne","0.000517104","0.001061283","0.001135326","0.001431498","0.001431498","0.000789792","0.001332774","0","0","0","0.00037998252","0.00078750288","0.00026140086","0","0","0","0","0","0","0","0","0","0","0.0014265102","0","0.0013576145967396","0","0","0","0","0"
"Nitrous Oxide","1A1b","Refineries - combustion","Naphtha","kilotonne","0.0030047094443126","0.00311232523732573","0.00308502223732573","0.00297581023732574","0.00271868414238909","0.0022836601423891","0.0022836601423891","0.0027458731423891","0.0027458731423891","0.00285462914238909","0.0027869285323891","0.00321818243492077","0.00283019483492077","0.00261243384504749","0.00247581468167458","0.00236676043895709","0.00227335839450562","0.00228160007381624","0.00209764060938432","0.0002882664591912","0.004244583546","0.0025111455946731","0.00499425563482062","0.00280269609299742","0.00460432637860734","0.00333181527932928","0.0012946451771565","0.00210984128664462","0.0014668837776588","0.0006108138582336","0"
"Nitrous Oxide","1A1b","Refineries - combustion","Natural gas","kilotonne","8.83945514036522e-05","9.06694111824227e-05","0.000630461138687813","0.000795875942601266","0.000628186278909043","0.000798475782348432","0.000966815405977446","0.00101458746133163","0.00121964981905024","0.00135029176609479","0.00183548339531042","0.00239557974064785","0.00264230894273841","0.00257176296834158","0.00236024983541785","0.00361164650930409","0.00377789032619009","0.00388286905809231","0.00275872716597071","0.00269499554104448","0.00333163962049459","0.00409068193780536","0.0039467534038176","0.00407335154233103","0.00458000853271088","0.0041078681948817","0.00412607215213733","0.00384937291870365","0.0047143098500596","0.0047758109465909","0.00468916900223414"
"Nitrous Oxide","1A1b","Refineries - combustion","OPG","kilotonne","0.0125733456","0.012256056","0.0121182768","0.0129207744","0.0124975008","0.0133708752","0.0141293052009584","0.0133262576112111","0.0126438384","0.0122666452","0.0125578318","0.011366995268","0.012120227988","0.01096149058","0.0126872482036405","0.0125126996551605","0.0130777058408176","0.0116910638105885","0.0151048371560226","0.0144173981581417","0.0144648589367953","0.0147167197355575","0.01152706","0.011559464120061","0.0105541305461646","0.0101336993177683","0.0112057663583972","0.0114200793043241","0.0103563300477448","0.00985259559712576","0.00931439699132179"
"Nitrous Oxide","1A1b","Refineries - combustion","Petrol","kilotonne","0","0","0","0","0","0","5.358e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1b","Refineries - combustion","Petroleum coke","kilotonne","0.0198940032","0.0212596776","0.0213412104","0.021810024","0.0193232736","0.0233795304","0.0227680344","0.0241133256","0.0242763912","0.023746428","0.02517977964","0.01900553622","0.02248986072","0.02076983898","0.02061862596","0.0278920657035021","0.0293360770240394","0.0295923200137221","0.0280909506155606","0.0276874626267975","0.0279548286344972","0.031107209184","0.03272726592","0.0254220737543285","0.023234402016","0.0239892710820225","0.0247472417034572","0.0243549277485027","0.0225827242009158","0.023944756536","0.018454337784"
"Nitrous Oxide","1A1ci","Coke production","Blast furnace gas","kilotonne","0.0004166316","0.0003770712","0.0003503412","0.000349272","0.0003720816","0.0003806352","0.0003998808","0.0004052268","0.000386694","0.0003859812","0.0003767148","0.0002313036","0.000181596492","0.0001539648","0.0001058508","0.000101495592","0.000191176524","0.000250395948","0.00022759704","0.000180295632","0.000260785008","0.000234275976","0.000239390316","0.000267766884","0.0002534004","0.000228548628","0.000225358848","0.000202795164","0.000215333316","0.000199826352","0.000190559952"
"Nitrous Oxide","1A1ci","Coke production","Coke oven gas","kilotonne","0.00196140984805654","0.00179059790671378","0.00155589058939929","0.00139729768409894","0.001440828","0.001354644","0.001614492","0.001590516","0.00184356","0.001711692","0.00179982","0.00152928","0.00138334392","0.001446984","0.001401624","0.00139984524","0.00138724164","0.0013698234","0.00140921856","0.00125961156","0.00125087004","0.00124146108","0.00123639048","0.00118042596","0.00120688704","0.00103189788","0.0005082264","0.00050082624","0.00048511224","0.00050135436","0.00034456104"
"Nitrous Oxide","1A1ci","Coke production","Colliery methane","kilotonne","9.396e-06","9.396e-06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ci","Coke production","Natural gas","kilotonne","4.12937354833829e-06","3.81679995842803e-06","4.22475557674628e-06","4.7317383965327e-06","6.17461939951982e-06","3.57477965235358e-06","7.47453927310294e-06","4.8746995259367e-06","2.27485977877046e-06","4.22473958914514e-06","5.52465946272826e-06","2.92481971556202e-06","0","3.2497996839578e-07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nitrous Oxide","1A1ci","Solid smokeless fuel production","Coke","kilotonne","0","0","0","0","0","0","0","0.0008046","0.0012069","0.000894","0.0016539","0.0014304","0.0007599","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
