Pollutant,sector,hour,coeff,coeff_l,coeff_u
CO2,6,23,0.66877018284984,0.665070477802195,0.672469887897484
CO2,7,0,0.247514233766145,0.243375107670031,0.251653359862258
CO2,7,1,0.160789629237165,0.157032164685814,0.164547093788516
CO2,7,2,0.102384360960182,0.09773122016003,0.107037501760333
CO2,7,3,0.104937484321681,0.100204042230814,0.109670926412548
CO2,7,4,0.205182363358776,0.201033516756381,0.209331209961171
CO2,7,5,0.444585813222441,0.439590874591207,0.449580751853675
CO2,7,6,0.838872012692879,0.834567975743913,0.843176049641845
CO2,7,7,1.25824155598624,1.25370057752661,1.26278253444587
CO2,7,8,1.52425990132873,1.51938953990153,1.52913026275594
CO2,7,9,1.5757574330522,1.57162771475606,1.57988715134835
CO2,7,10,1.53340390098926,1.52845366902354,1.53835413295498
CO2,7,11,1.52115803966598,1.51673645898762,1.52557962034435
CO2,7,12,1.56487399153265,1.56045241085428,1.56929557221102
CO2,7,13,1.64358536970902,1.63863513774331,1.64853560167474
CO2,7,14,1.73000184899174,1.7258721306956,1.73413156728789
CO2,7,15,1.78417600544337,1.77930564401617,1.78904636687058
CO2,7,16,1.765859572149,1.76131859368937,1.77040055060863
CO2,7,17,1.64983436843415,1.64553033148518,1.65413840538311
CO2,7,18,1.42060630638965,1.41561136775842,1.42560124502089
CO2,7,19,1.08999679300846,1.08584794640606,1.09414563961085
CO2,7,20,0.747935537763435,0.743202095672568,0.752668979854301
CO2,7,21,0.49374513656016,0.489091995760008,0.498398277360311
CO2,7,22,0.344784107670522,0.341026643119171,0.348541572221873
CO2,7,23,0.247514233766145,0.243375107670031,0.251653359862258
CO2,8,0,0.612474268373732,0.605357894534577,0.619590642212886
CO2,8,1,0.489899167654707,0.483436611488674,0.496361723820739
CO2,8,2,0.414190821002071,0.406192391117935,0.422189250886207
CO2,8,3,0.455897756243938,0.447760426216564,0.464035086271312
CO2,8,4,0.623697060867448,0.616561744696225,0.63083237703867
CO2,8,5,0.854735934608506,0.846151261335119,0.863320607881894
CO2,8,6,1.08433468518641,1.07693337620107,1.09173599417176
CO2,8,7,1.25988699886345,1.25208019902324,1.26769379870366
CO2,8,8,1.33375974933871,1.32538860935699,1.34213088932044
CO2,8,9,1.30488102917285,1.29777841001359,1.31198364833211
CO2,8,10,1.24434228831662,1.23583441916034,1.25285015747289
CO2,8,11,1.22098858271455,1.21338622137363,1.22859094405547
CO2,8,12,1.23652595546967,1.22892359412875,1.24412831681059
CO2,8,13,1.26071345075925,1.25220558160298,1.26922131991553
CO2,8,14,1.27443582587665,1.26733320671739,1.28153844503591
CO2,8,15,1.28232191404351,1.27395077406178,1.29069305402524
CO2,8,16,1.29009768821424,1.28229088837403,1.29790448805445
CO2,8,17,1.28148693360193,1.27408562461659,1.28888824258728
CO2,8,18,1.22603515843142,1.21745048515803,1.2346198317048
CO2,8,19,1.10966740172837,1.10253208555715,1.1168027178996
CO2,8,20,0.966105052996882,0.957967722969508,0.974242383024256
CO2,8,21,0.83573713286005,0.827738702975914,0.843735562744186
CO2,8,22,0.725310875301298,0.718848319135265,0.731773431467331
CO2,8,23,0.612474268373732,0.605357894534577,0.619590642212886
CO2,9,0,1.00000154143467,0.999998051167216,1.00000503170212
CO2,9,1,1.0000028009776,0.999999341326583,1.00000626062861
CO2,9,2,1.00000391253355,1.00000031285961,1.00000751220748
CO2,9,3,1.00000484650753,1.00000115836146,1.0000085346536
CO2,9,4,1.00000556497895,1.00000189174862,1.00000923820929
CO2,9,5,1.00000602040193,1.00000224886768,1.00000979193618
CO2,9,6,1.00000615769744,1.00000244706797,1.00000986832692
CO2,9,7,1.00000588263354,1.00000215060751,1.00000961465957
CO2,9,8,1.00000508869982,1.00000132454451,1.00000885285513
CO2,9,9,1.00000374934348,1.00000005477296,1.00000744391399
CO2,9,10,1.00000196196711,0.999998190269176,1.00000573366505
CO2,9,11,0.999999847700155,0.999996127429301,1.00000356797101
CO2,9,12,0.999997631422182,0.999993911151327,1.00000135169304
CO2,9,13,0.99999558729069,0.999991815592753,0.999999358988628
CO2,9,14,0.999993957674057,0.99999026310354,0.999997652244575
CO2,9,15,0.999992917639992,0.999989153484679,0.999996681795306
CO2,9,16,0.999992618572779,0.99998888654675,0.999996350598808
CO2,9,17,0.999993035051195,0.999989324421721,0.999996745680669
CO2,9,18,0.99999402756803,0.999990256033784,0.999997799102276
CO2,9,19,0.999995436866332,0.999991763635996,0.999999110096669
CO2,9,20,0.999997052347527,0.999993364201455,1.0000007404936
CO2,9,21,0.999998660435802,0.999995060761867,1.00000226010974
CO2,9,22,1.00000015882098,0.999996699169963,1.00000361847199
CO2,9,23,1.00000154143467,0.999998051167216,1.00000503170212
CO2,avi.cruise,0,0.44038266979497,0.436400663102024,0.444364676487917
CO2,avi.cruise,1,0.168992802729774,0.165378038325589,0.172607567133959
CO2,avi.cruise,2,-0.00106205834227944,-0.00553861664159746,0.00341449995703858
CO2,avi.cruise,3,0.0909912890417498,0.0864375019064719,0.0955450761770277
CO2,avi.cruise,4,0.448003144765721,0.444011850932601,0.451994438598841
CO2,avi.cruise,5,0.890248335561789,0.885442913229475,0.895053757894104
CO2,avi.cruise,6,1.2464275844225,1.24228696742484,1.25056820142017
CO2,avi.cruise,7,1.44929986162335,1.44493124288809,1.45366848035862
CO2,avi.cruise,8,1.46893498879219,1.46424943355746,1.47362054402691
CO2,avi.cruise,9,1.34357680085069,1.33960391475195,1.34754968694943
CO2,avi.cruise,10,1.21708255654304,1.21232014549303,1.22184496759304
CO2,avi.cruise,11,1.22119294222999,1.21693921331788,1.2254466711421
CO2,avi.cruise,12,1.31927210435036,1.31501837543825,1.32352583326247
CO2,avi.cruise,13,1.39474261168267,1.38998020063266,1.39950502273267
CO2,avi.cruise,14,1.38777316871076,1.38380028261202,1.3917460548095
CO2,avi.cruise,15,1.358565956424,1.35388040118927,1.36325151165872
CO2,avi.cruise,16,1.37473632929533,1.37036771056007,1.3791049480306
CO2,avi.cruise,17,1.41437349449123,1.41023287749357,1.41851411148889
CO2,avi.cruise,18,1.39783899285658,1.39303357052426,1.40264441518889
CO2,avi.cruise,19,1.27554555722272,1.2715542633896,1.27953685105584
CO2,avi.cruise,20,1.08711741436302,1.08256362722774,1.09167120149829
CO2,avi.cruise,21,0.885652747307377,0.881176189008059,0.890129305606695
CO2,avi.cruise,22,0.679928035487513,0.676313271083328,0.683542799891698
CO2,avi.cruise,23,0.440382669794971,0.436400663102024,0.444364676487917
