NFR19,SNAP,Source,Activity,Profile_ID
1A3bv,7,Road transport - LGVs - evaporative,Petrol,ROAD_CAT_ALL
1A3bv,7,Road transport - mopeds (<50cc 2st) - evaporative,Petrol,ROAD_CYC_ALL
1A3bv,7,Road transport - motorcycle (>50cc  2st) - evaporative,Petrol,ROAD_CYC_ALL
1A3bv,7,Road transport - motorcycle (>50cc  4st) - evaporative,Petrol,ROAD_CYC_ALL
1A3bvi,7,Road transport - buses and coaches - motorway driving,Brake wear,ROAD_BUS_MOT
1A3bvi,7,Road transport - buses and coaches - motorway driving,Tyre wear,ROAD_BUS_MOT
1A3bvi,7,Road transport - buses and coaches - rural driving,Brake wear,ROAD_BUS_RUR
1A3bvi,7,Road transport - buses and coaches - rural driving,Tyre wear,ROAD_BUS_RUR
1A3bvi,7,Road transport - buses and coaches - urban driving,Brake wear,ROAD_BUS_URB
1A3bvi,7,Road transport - buses and coaches - urban driving,Tyre wear,ROAD_BUS_URB
1A3bvi,7,Road transport - cars - motorway driving,Brake wear,ROAD_CAT_MOT
1A3bvi,7,Road transport - cars - motorway driving,Tyre wear,ROAD_CAT_MOT
1A3bvi,7,Road transport - cars - rural driving,Brake wear,ROAD_CAT_RUR
1A3bvi,7,Road transport - cars - rural driving,Tyre wear,ROAD_CAT_RUR
1A3bvi,7,Road transport - cars - urban driving,Brake wear,ROAD_CAT_URB
1A3bvi,7,Road transport - cars - urban driving,Tyre wear,ROAD_CAT_URB
1A3bvi,7,Road transport - HGV articulated - motorway driving,Brake wear,ROAD_HGV_MOT
1A3bvi,7,Road transport - HGV articulated - motorway driving,Tyre wear,ROAD_HGV_MOT
1A3bvi,7,Road transport - HGV articulated - rural driving,Brake wear,ROAD_HGV_RUR
1A3bvi,7,Road transport - HGV articulated - rural driving,Tyre wear,ROAD_HGV_RUR
1A3bvi,7,Road transport - HGV articulated - urban driving,Brake wear,ROAD_HGV_URB
1A3bvi,7,Road transport - HGV articulated - urban driving,Tyre wear,ROAD_HGV_URB
1A3bvi,7,Road transport - HGV rigid - motorway driving,Brake wear,ROAD_HGV_MOT
1A3bvi,7,Road transport - HGV rigid - motorway driving,Tyre wear,ROAD_HGV_MOT
1A3bvi,7,Road transport - HGV rigid - rural driving,Brake wear,ROAD_HGV_RUR
