Profile_ID,month,N
AGRI_SPR_POU,6,0.028795213
AGRI_SPR_POU,7,0.028795213
AGRI_SPR_POU,8,0.239674263
AGRI_SPR_POU,9,0.301787189
AGRI_SPR_POU,10,0.056800254
AGRI_SPR_POU,11,0.005495719
AGRI_SPR_POU,12,0.005495719
AGRI_STO_CAT,1,0.181818182
AGRI_STO_CAT,2,0.181818182
AGRI_STO_CAT,3,0.045454545
AGRI_STO_CAT,4,0
AGRI_STO_CAT,5,0
AGRI_STO_CAT,6,0
AGRI_STO_CAT,7,0
AGRI_STO_CAT,8,0
AGRI_STO_CAT,9,0.045454545
AGRI_STO_CAT,10,0.181818182
AGRI_STO_CAT,11,0.181818182
AGRI_STO_CAT,12,0.181818182
AGRI_STO_MLI,1,0.083333333
AGRI_STO_MLI,2,0.083333333
AGRI_STO_MLI,3,0.083333333
AGRI_STO_MLI,4,0.083333333
AGRI_STO_MLI,5,0.083333333
AGRI_STO_MLI,6,0.083333333
AGRI_STO_MLI,7,0.083333333
AGRI_STO_MLI,8,0.083333333
AGRI_STO_MLI,9,0.083333333
AGRI_STO_MLI,10,0.083333333
AGRI_STO_MLI,11,0.083333333
AGRI_STO_MLI,12,0.083333333
AGRI_STO_PIG,1,0.083333333
AGRI_STO_PIG,2,0.083333333
AGRI_STO_PIG,3,0.083333333
AGRI_STO_PIG,4,0.083333333
AGRI_STO_PIG,5,0.083333333
AGRI_STO_PIG,6,0.083333333
AGRI_STO_PIG,7,0.083333333
AGRI_STO_PIG,8,0.083333333
AGRI_STO_PIG,9,0.083333333
AGRI_STO_PIG,10,0.083333333
AGRI_STO_PIG,11,0.083333333
AGRI_STO_PIG,12,0.083333333
AGRI_STO_POU,1,0.083333333
AGRI_STO_POU,2,0.083333333
AGRI_STO_POU,3,0.083333333
AGRI_STO_POU,4,0.083333333
AGRI_STO_POU,5,0.083333333
AGRI_STO_POU,6,0.083333333
AGRI_STO_POU,7,0.083333333
AGRI_STO_POU,8,0.083333333
AGRI_STO_POU,9,0.083333333
AGRI_STO_POU,10,0.083333333
AGRI_STO_POU,11,0.083333333
AGRI_STO_POU,12,0.083333333
AGRI_STO_SHP,1,0
AGRI_STO_SHP,2,0
AGRI_STO_SHP,3,0.5
AGRI_STO_SHP,4,0.5
AGRI_STO_SHP,5,0
AGRI_STO_SHP,6,0
AGRI_STO_SHP,7,0
AGRI_STO_SHP,8,0
AGRI_STO_SHP,9,0
AGRI_STO_SHP,10,0
AGRI_STO_SHP,11,0
AGRI_STO_SHP,12,0
AGRI_YRD_CAT,1,0.181818182
AGRI_YRD_CAT,2,0.181818182
AGRI_YRD_CAT,3,0.045454545
AGRI_YRD_CAT,4,0
AGRI_YRD_CAT,5,0
AGRI_YRD_CAT,6,0
AGRI_YRD_CAT,7,0
AGRI_YRD_CAT,8,0
AGRI_YRD_CAT,9,0.045454545
AGRI_YRD_CAT,10,0.181818182
AGRI_YRD_CAT,11,0.181818182
AGRI_YRD_CAT,12,0.181818182
