Profile_ID,longname,SNAP,emission,prop,species
ROAD_HGV_RUR,"Road transport, HGVs (rural)",7,0.0831586189881883,0.0217098579744071,ch4
ROAD_HGV_MOT,"Road transport, HGVs (motorway)",7,0.0609240563254531,0.0159051776730231,ch4
ROAD_LGV_URB,"Road transport, LGVs (urban)",7,0.0389020385172701,0.010155985529832,ch4
ROAD_HGV_URB,"Road transport, HGVs (urban)",7,0.0251103875389142,0.00655545935929481,ch4
ROAD_BUS_URB,"Road transport, Buses (urban)",7,0.0216971538976807,0.00566438133892541,ch4
ROAD_CYC_MOT,"Road transport, motorcycles (motorway)",7,0.0173961452124831,0.00454153575973663,ch4
ROAD_LGV_RUR,"Road transport, LGVs (rural)",7,0.00543209065217586,0.00141813221524991,ch4
ROAD_BUS_RUR,"Road transport, Buses (rural)",7,0.00520338350374732,0.00135842463748433,ch4
ROAD_CAT_ALL,"Road transport, cars and taxis (all roads)",7,0.002475413,0.000646245275737856,ch4
ROAD_BUS_MOT,"Road transport, Buses (motorway)",7,0.00133581579717145,0.00034873560419132,ch4
ROAD_LGV_MOT,"Road transport, LGVs (motorway)",7,0.000731933913403796,0.000191082794543587,ch4
OFFR_OTH,Offroad machinery,8,1.26956731595488,0.725733848251271,ch4
SHIP_MIS,Shipping (miscellaneous),8,0.14507310659222,0.0829294064220223,ch4
SHIP_REC,Shipping (recreational),8,0.093744288227368,0.0535878658751182,ch4
RAIL_PAS,Railways (passenger),8,0.0667659996262788,0.0381660312392952,ch4
AVIA_DOM_TOL,"Aviation (domestic, take off and landing)",8,0.064425928603735,0.0368283560116569,ch4
SHIP_CTP,Shipping (coastal and international),8,0.0498426188547594,0.0284919713463003,ch4
MISC_ANY,Miscellaneous,8,0.038221947679637,0.0218491456330051,ch4
SHIP_FIS,Shipping (fishing),8,0.0123312789685142,0.0070490366498989,ch4
SHIP_MIL,Shipping (military),8,0.00558775973009197,0.00319417987613604,ch4
RAIL_FRE,Railways (freight),8,0.00379638149250136,0.00217015869529586,ch4
AVIA_DOM_CRU,"Aviation (domestic, cruise)",8,0,0,ch4
MISC_ANY,Miscellaneous,9,690.712214497343,1,ch4
AGRI_ENT_ALL,Agricultural enteric fermentation (all),10,855.827611343713,0.842069197571571,ch4
AGRI_SPR_CAT,Agricultural spreading (cattle),10,127.192044076761,0.125147285590662,ch4
AGRI_SPR_PIG,Agricultural spreading (pigs),10,20.4890634358978,0.0201596781615525,ch4
AGRI_EXC_ALL,Agricultural excretion (all),10,8.91808068550818,0.00877471227521358,ch4
AGRI_SPR_POU,Agricultural spreading (poultry),10,2.16647228061341,0.00213164374544176,ch4
AGRI_SPR_OTH,Agricultural spreading (miscellaneous),10,1.03097622172606,0.00101440209247417,ch4
MISC_ANY,Miscellaneous,10,0.714568067116318,0.000703080563084624,ch4
MISC_ANY,Miscellaneous,11,194.983677778048,1,ch4
ENER_GAS,Energy generation (natural gas),1,12295.9318517915,0.519372673204947,co2
MISC_ANY,Miscellaneous,1,3930.85034133649,0.16603672453268,co2
INDU_EXT_PAG,Extraction Of Crude Petroleum And Natural Gas,1,3501.88657725892,0.147917556376705,co2
ENER_COA,Energy generation (coal),1,1765.11935084737,0.0745575664232239,co2
ENER_OTH,Energy generation (other not stated),1,1520.52801203002,0.0642261772275498,co2
ENER_OIL,Energy generation (oil),1,434.591153405094,0.0183568656540934,co2
INDU_MAN_CAP,Manufacture of coke and refined petroleum product,1,205.148600719874,0.00866535195903928,co2
INDU_MIN_GEN,Mining and quarrying,1,20.5278675004829,0.000867084621762063,co2
ENER_BIO,Energy generation (biomass),1,0,0,co2
STAT_DOM_GAS,Stationary combustion; domestic (natural gas),2,15457.652423205,0.654865065133931,co2
STAT_PIC_GAS,"Stationary combustion; public sector, commercial or industrial/institutional (natural gas)",2,5217.27234808717,0.221030289885582,co2
STAT_DOM_OIL,Stationary combustion; domestic (oil),2,1770.74004857079,0.0750175877613725,co2
STAT_DOM_SOL,Stationary combustion; domestic (other solid fuels),2,502.378682739458,0.0212833255520867,co2
STAT_DOM_COA,Stationary combustion; domestic (coal),2,222.38182210458,0.00942122920285738,co2
STAT_DOM_OTH,Stationary combustion; domestic (other fuels),2,201.970355305451,0.00855649527244344,co2
STAT_PIC_OIL,"Stationary combustion; public sector, commercial or industrial/institutional (oil)",2,136.113470907595,0.00576646146200681,co2
MISC_ANY,Miscellaneous,2,71.1300785144311,0.00301343323190576,co2
STAT_PIC_COA,"Stationary combustion; public sector, commercial or industrial/institutional (coal)",2,23.8810922254076,0.00101172497527399,co2
RAIL_PAS,Railways (passenger),2,0.811694499262229,3.43875225406318e-05,co2
INDU_MAN_GEN,Industrial manufacturing,3,4741.6421817949,0.393210083596514,co2
INDU_MAN_IRO,Manufacture of basic iron and steel,3,2562.73512597569,0.212519893843861,co2
INDU_MAN_CHE,Manufacture of chemicals and chemical products,3,1350.07824609569,0.11195791661533,co2
INDU_MAN_FAB,Manufacture of Food products beverages and tobacco,3,1133.64777307969,0.0940099903221567,co2
MISC_ANY,Miscellaneous,3,906.791782085711,0.0751975072702729,co2
INDU_PRO_GEN,Industrial production,3,803.864534796565,0.0666620611190823,co2
INDU_MAN_PAP,Manufacture Of Paper And Paper Products,3,380.196914147447,0.0315285832762825,co2
INDU_MAN_MET,Manufacture of basic metals and metal products,3,179.844524705731,0.0149139639565014,co2
INDU_PRO_GEN,Industrial production,4,2371.8620299337,0.688617007377111,co2
INDU_MAN_CHE,Manufacture of chemicals and chemical products,4,808.10526320471,0.234615260487674,co2
INDU_MAN_IRO,Manufacture of basic iron and steel,4,247.873938367878,0.0719646452835361,co2
INDU_MAN_MET,Manufacture of basic metals and metal products,4,16.54367988,0.0048030868516787,co2
INDU_EXT_PAG,Extraction Of Crude Petroleum And Natural Gas,5,1143.94604299738,0.967034723708395,co2
INDU_MAN_CAP,Manufacture of coke and refined petroleum product,5,31.2941440401147,0.026454502920635,co2
INDU_MAN_IRO,Manufacture of basic iron and steel,5,6.13142968862191,0.00518320374563989,co2
MISC_ANY,Miscellaneous,5,1.57043794030117,0.00132756962533048,co2
SOLV_OTH,Solvents (miscellaneous),6,131.506452342397,1,co2
ROAD_CAT_URB,"Road transport, cars and taxis (urban)",7,7800.08921356857,0.260446435970975,co2
ROAD_CAT_RUR,"Road transport, cars and taxis (rural)",7,7362.09804771682,0.245821829122322,co2
ROAD_CAT_MOT,"Road transport, cars and taxis (motorway)",7,3244.29396524882,0.10832758156424,co2
ROAD_HGV_MOT,"Road transport, HGVs (motorway)",7,2334.81337070032,0.077959854612749,co2
ROAD_LGV_RUR,"Road transport, LGVs (rural)",7,2252.21257905968,0.0752017987492642,co2
ROAD_HGV_RUR,"Road transport, HGVs (rural)",7,2091.90335921097,0.0698490439512479,co2
